"","Rank","Team","Points","ID"
"310","38","University of Tulsa","316",964
"311","39","University of Oklahoma","312",964
"312","40","Michigan State University","306",964
"313","41","University of Louisville","296",964
"314","41","University of Kansas","296",964
"315","43","Boston College","294",964
"316","44","George Washington University","292",964
"317","45","United States Naval Academy","288",964
"318","46","University of California – San Diego","287",964
"319","47","University of North Carolina at Chapel Hill","281",964
"320","48","Kansas State University","259",964
"321","48","University of San Diego","259",964
"322","50","Jacksonville University","251",964
"323","51","University of Massachusetts – Amherst","249",964
"324","52","Georgetown University","248",964
"325","53","California State University – Sacramento","240",964
"326","54","Cornell University","236",964
"327","55","College of the Holy Cross","233",964
"328","56","Bucknell University","225",964
"329","57","Sacred Heart University","202",964
"330","58","Fordham University","195",964
"331","59","Temple University","193",964
"332","60","Saint Joseph's University","187",964
"333","60","Drexel University","187",964
"334","62","Loyola Marymount University","177",964
"335","63","University of Connecticut","162",964
"336","64","La Salle University","158",964
"337","65","West Virginia University","154",964
"338","66","Duquesne University","148",964
"339","67","University of Delaware","138",964
"340","67","Marist College","138",964
"341","69","University of Portland","135",964
"342","70","Fairfield University","132",964
"343","71","Old Dominion University","126",964
"344","72","Villanova University","124",964
"345","73","Stetson University","123",964
"346","74","Lehigh University","120",964
"347","75","Creighton University","116",964
"348","75","Eastern Michigan University","116",964
"349","77","Colgate University","109",964
"350","78","Saint Mary’s College of California","104",964
"351","79","Canisius College","84",964
"352","80","Robert Morris University – Pennsylvania","69",964
"353","80","George Mason University","69",964
"354","82","Loyola University Maryland","65",964
"355","83","Seattle University","64",964
"356","84","University of Dayton","53",964
"357","85","Merrimack College","50",964
"358","86","Iona College","45",964
"359","87","Drake University","30",964
"360","88","Santa Clara University","25",964
"361","89","Manhattan College","5",964
"362","Rank","School Name","Points",954
"363","1","University of Texas – Austin","544",954
"364","2","Stanford University","535",954
"365","3","University of Tennessee","533",954
"366","4","Princeton University","529",954
"367","5","Brown University","520",954
"368","6","University of California – Berkley","514",954
"369","7","Yale University","511",954
"370","8","University of Washington","496",954
"371","9","University of Michigan","491",954
"372","10","University of Pennsylvania","486",954
"373","11","Syracuse University","485",954
"374","12","Ohio State University","484",954
"375","13","Rutgers University","473",954
"376","14","Indiana University","470",954
"377","15","Duke University","468",954
"378","16","Harvard-Radcliffe","448",954
"379","17","University of Virginia","446",954
"380","18","University of Alabama","436",954
"381","18","Columbia University","436",954
"382","20","University of Miami","419",954
"383","21","Gonzaga University","414",954
"384","22","University of California – Los Angeles","404",954
"385","23","Washington State University","402",954
"386","24","University of Minnesota","398",954
"387","25","University of Central Florida","397",954
"388","26","Oregon State University","395",954
"389","27","Northeastern University","389",954
"390","28","University of Southern California","385",954
"391","29","University of Iowa","379",954
"392","29","Clemson University","379",954
"393","31","University of Notre Dame","378",954
"394","32","Boston University","367",954
"395","33","Dartmouth College","354",954
"396","34","Massachusetts Institute of Technology","337",954
"397","35","University of Wisconsin","331",954
"398","36","University of Rhode Island","330",954
"399","37","Southern Methodist University","319",954
"400","38","University of Tulsa","316",954
"401","39","University of Oklahoma","312",954
"402","40","Michigan State University","306",954
"403","41","University of Louisville","296",954
"404","41","University of Kansas","296",954
"405","43","Boston College","294",954
"406","44","George Washington University","292",954
"407","45","United States Naval Academy","288",954
"408","46","University of California – San Diego","287",954
"409","47","University of North Carolina at Chapel Hill","281",954
"410","48","Kansas State University","259",954
"411","48","University of San Diego","259",954
"412","50","Jacksonville University","251",954
"413","51","University of Massachusetts – Amherst","249",954
"414","52","Georgetown University","248",954
"415","53","California State University – Sacramento","240",954
"416","54","Cornell University","236",954
"417","55","College of the Holy Cross","233",954
"418","56","Bucknell University","225",954
"419","57","Sacred Heart University","202",954
"420","58","Fordham University","195",954
"421","59","Temple University","193",954
"422","60","Saint Joseph's University","187",954
"423","60","Drexel University","187",954
"424","62","Loyola Marymount University","177",954
"425","63","University of Connecticut","162",954
"426","64","La Salle University","158",954
"427","65","West Virginia University","154",954
"428","66","Duquesne University","148",954
"429","67","University of Delaware","138",954
"430","67","Marist College","138",954
"431","69","University of Portland","135",954
"432","70","Fairfield University","132",954
"433","71","Old Dominion University","126",954
"434","72","Villanova University","124",954
"435","73","Stetson University","123",954
"436","74","Lehigh University","120",954
"437","75","Creighton University","116",954
"438","75","Eastern Michigan University","116",954
"439","77","Colgate University","109",954
"440","78","Saint Mary’s College of California","104",954
"441","79","Canisius College","84",954
"442","80","Robert Morris University – Pennsylvania","69",954
"443","80","George Mason University","69",954
"444","82","Loyola University Maryland","65",954
"445","83","Seattle University","64",954
"446","84","University of Dayton","53",954
"447","85","Merrimack College","50",954
"448","86","Iona College","45",954
"449","87","Drake University","30",954
"450","88","Santa Clara University","25",954
"451","89","Manhattan College","5",954
"452","Rank","School Name","Points",946
"453","1","University of Texas – Austin","544",946
"454","2","Stanford University","535",946
"455","3","University of Tennessee","533",946
"456","4","Princeton University","529",946
"457","5","Brown University","520",946
"458","6","University of California – Berkley","514",946
"459","7","Yale University","511",946
"460","8","University of Washington","496",946
"461","9","University of Michigan","491",946
"462","10","University of Pennsylvania","486",946
"463","11","Syracuse University","485",946
"464","12","Ohio State University","484",946
"465","13","Rutgers University","473",946
"466","14","Indiana University","470",946
"467","15","Duke University","468",946
"468","16","Harvard-Radcliffe","448",946
"469","17","University of Virginia","446",946
"470","18","University of Alabama","436",946
"471","18","Columbia University","436",946
"472","20","University of Miami","419",946
"473","21","Gonzaga University","414",946
"474","22","University of California – Los Angeles","404",946
"475","23","Washington State University","402",946
"476","24","University of Minnesota","398",946
"477","25","University of Central Florida","397",946
"478","26","Oregon State University","395",946
"479","27","Northeastern University","389",946
"480","28","University of Southern California","385",946
"481","29","University of Iowa","379",946
"482","29","Clemson University","379",946
"483","31","University of Notre Dame","378",946
"484","32","Boston University","367",946
"485","33","Dartmouth College","354",946
"486","34","Massachusetts Institute of Technology","337",946
"487","35","University of Wisconsin","331",946
"488","36","University of Rhode Island","330",946
"489","37","Southern Methodist University","319",946
"490","38","University of Tulsa","316",946
"491","39","University of Oklahoma","312",946
"492","40","Michigan State University","306",946
"493","41","University of Louisville","296",946
"494","41","University of Kansas","296",946
"495","43","Boston College","294",946
"496","44","George Washington University","292",946
"497","45","United States Naval Academy","288",946
"498","46","University of California – San Diego","287",946
"499","47","University of North Carolina at Chapel Hill","281",946
"500","48","Kansas State University","259",946
"501","48","University of San Diego","259",946
"502","50","Jacksonville University","251",946
"503","51","University of Massachusetts – Amherst","249",946
"504","52","Georgetown University","248",946
"505","53","California State University – Sacramento","240",946
"506","54","Cornell University","236",946
"507","55","College of the Holy Cross","233",946
"508","56","Bucknell University","225",946
"509","57","Sacred Heart University","202",946
"510","58","Fordham University","195",946
"511","59","Temple University","193",946
"512","60","Saint Joseph's University","187",946
"513","60","Drexel University","187",946
"514","62","Loyola Marymount University","177",946
"515","63","University of Connecticut","162",946
"516","64","La Salle University","158",946
"517","65","West Virginia University","154",946
"518","66","Duquesne University","148",946
"519","67","University of Delaware","138",946
"520","67","Marist College","138",946
"521","69","University of Portland","135",946
"522","70","Fairfield University","132",946
"523","71","Old Dominion University","126",946
"524","72","Villanova University","124",946
"525","73","Stetson University","123",946
"526","74","Lehigh University","120",946
"527","75","Creighton University","116",946
"528","75","Eastern Michigan University","116",946
"529","77","Colgate University","109",946
"530","78","Saint Mary’s College of California","104",946
"531","79","Canisius College","84",946
"532","80","Robert Morris University – Pennsylvania","69",946
"533","80","George Mason University","69",946
"534","82","Loyola University Maryland","65",946
"535","83","Seattle University","64",946
"536","84","University of Dayton","53",946
"537","85","Merrimack College","50",946
"538","86","Iona College","45",946
"539","87","Drake University","30",946
"540","88","Santa Clara University","25",946
"541","89","Manhattan College","5",946
"542","Rank","School Name","Points",917
"543","1","University of Texas – Austin","544",917
"544","2","Stanford University","535",917
"545","3","University of Tennessee","533",917
"546","4","Princeton University","529",917
"547","5","Brown University","520",917
"548","6","University of California – Berkley","514",917
"549","7","Yale University","511",917
"550","8","University of Washington","496",917
"551","9","University of Michigan","491",917
"552","10","University of Pennsylvania","486",917
"553","11","Syracuse University","485",917
"554","12","Ohio State University","484",917
"555","13","Rutgers University","473",917
"556","14","Indiana University","470",917
"557","15","Duke University","468",917
"558","16","Harvard-Radcliffe","448",917
"559","17","University of Virginia","446",917
"560","18","University of Alabama","436",917
"561","18","Columbia University","436",917
"562","20","University of Miami","419",917
"563","21","Gonzaga University","414",917
"564","22","University of California – Los Angeles","404",917
"565","23","Washington State University","402",917
"566","24","University of Minnesota","398",917
"567","25","University of Central Florida","397",917
"568","26","Oregon State University","395",917
"569","27","Northeastern University","389",917
"570","28","University of Southern California","385",917
"571","29","University of Iowa","379",917
"572","29","Clemson University","379",917
"573","31","University of Notre Dame","378",917
"574","32","Boston University","367",917
"575","33","Dartmouth College","354",917
